Name,Season Average PER,Negative Performances Count,Positive Performances Count,Trends,Average PER of Positive Performance,Average PER of Negative Performance,Average Positive Sentiment for All Trends,Average Negative Sentiment for All Trends,Positive Performance and Positive Sentiment Count,Positive Performance and Negative Sentiment Count,Negative Performance and Positive Sentiment Count,Negative Performance and Negative Sentiment Count,Average PER for A Negative Sentiment Trend,Average PER for A Positive Sentiment Trend,Positive Sentiment Average for Negative Performance,Negative Sentiment Average for Negative Performance,Positive Sentiment Average for Positive Performance,Negative Sentiment Average for Positive Performance
Bradley Beal,28.08727416457549,10,10,20,36.23970331940514,19.506787288181293,0.2762902013186245,0.19839533265006815,9,1,8,2,25.795012672947973,28.239992238648256,0.3046691544439249,0.2198860917065048,0.24791124819332416,0.17690457359363157
Lou Williams,17.534142646202838,14,7,21,35.77315938979603,6.732401482055172,0.35553830421688404,0.16138748146122517,6,1,12,2,10.325944377381878,17.42710574139995,0.3697844391125959,0.16254564782482156,0.32704603442546026,0.1590711487340322
Kyle Kuzma,14.772826091314341,8,11,20,24.10813874066754,6.142416474032408,0.23544239975869768,0.14277017054127578,10,1,5,3,11.050967289989412,18.288805645503984,0.20989502248847144,0.1983180057189487,0.26183666174397346,0.09894972672180959
Rajon Rondo,13.41362545722261,4,8,12,25.327830032505176,-1.822961577080327,0.25225803917101164,0.22006148336573175,6,2,3,1,15.720532565665044,16.463244028302775,0.1819886838457535,0.3091027298634881,0.2873927168336407,0.1755408601168537
Marcus Smart,16.346108074741686,7,6,14,25.103926972614982,8.725441270365193,0.8348553859437519,0.16014335926970621,6,0,7,0,0.0,16.32946707041586,0.7728115989021604,0.22413656506728025,0.8999735287038954,0.09652140372853724
Tyler Herro,16.038527521092078,8,6,14,24.16998365709577,9.048437167794237,0.29949502286913704,0.11942322713474653,6,0,7,1,10.138693749999996,15.943746579609883,0.31386823830474686,0.1400592527190564,0.28033073562165717,0.09190852635566671
Kawhi Leonard,30.360876249197954,9,10,19,39.339193370636664,22.60069659850585,0.268873790898475,0.1684347736602752,8,2,5,4,28.89498531782103,32.57140701430716,0.27172258488371864,0.20179890285738863,0.26630987631175584,0.13840705738287318
Stanley Johnson,10.478165715568739,6,7,13,22.215743808884778,-2.2010580099495853,0.3425321247507616,0.1523417037974628,6,0,6,0,0.0,9.890210652772097,0.30759508995343554,0.17184515642344397,0.3724781545770411,0.135624458689479
Derrick Rose,20.922386911872447,6,8,14,32.12618684951139,10.070426479316295,0.9436056894903139,0.037286394221867976,8,0,6,0,0.0,22.67371811942778,0.9645612479341791,0.01895353047120531,0.927889020657415,0.05103604203486498
Ben McLemore,10.666789523291754,8,4,12,18.381535123787692,-2.863984837665129,0.317101533236822,0.15879517602209767,3,1,5,2,0.6273588773344215,5.691383773570555,0.321114080566366,0.1641336137466646,0.3090764385777339,0.14811830057296377
Jrue Holiday,22.312053106854712,10,9,20,30.352107543229767,11.930379250428944,0.33720912860123614,0.15162532941771603,8,1,10,0,26.81539837398374,20.38413434002895,0.34990949039741986,0.13339224545581735,0.32742689489060406,0.17768543656864275
Giannis Antetokounmpo,35.11912101833503,10,10,20,44.70430076006542,25.87714292652571,0.21293528248472698,0.12102570496522821,8,2,6,4,32.66276705039723,36.41698818310913,0.23611594945579575,0.15153247614699947,0.1897546155136583,0.09051893378345699
Louis King,20.258182628101746,1,1,2,34.406874183006536,0.46072727272727154,0.26327599102468213,0.24135550313560783,0,1,1,0,34.406874183006536,0.46072727272727154,0.2857142857142857,0.02197802197802198,0.24083769633507854,0.4607329842931937
Marc Gasol,15.17119408408261,5,4,9,28.642548373096716,7.2197498658920765,0.2802526923360791,0.2509421369932317,1,3,4,1,21.328051002064974,13.071347762717474,0.3043239076481179,0.1918702397856877,0.2501636731960305,0.3247820085026617
Meyers Leonard,5.5424178058783315,1,1,2,15.26472846889952,-4.179892857142857,0.3932411674347158,0.13590203106332138,1,0,1,0,0.0,5.5424178058783315,0.5483870967741935,0.12365591397849462,0.23809523809523808,0.14814814814814814
Rudy Gobert,26.69966071349926,11,7,19,34.57643595656313,19.43561665709939,0.3348652033741571,0.15821113053250307,6,1,10,1,27.838557942727775,25.067656264880416,0.3695327297006544,0.19767027319309866,0.27901919899390604,0.09102771864986119
